annualizedDiv,bestAsk,bestBid,beta,currentYield,divPayDate,earnings_per_share,exDivDate,fiftyDayAvgVol,fiftytwoHigh,fiftytwoLow,forward_pe_one_year,industry,marketCap,oneyeartarget,pe_ratio,previousClose,price,shareVolume,symbol,todaysHigh,todaysLow
,,,1.5,0,"
                        N/A
                    ",-8.39,"
                        N/A
                    ","2,243,619",68.35,35.06,,Technology,9196687000,65,,52.79,54.13,"1,043,364",DOCU,54.3659,52.50
3.60,,,0.59,2.00,"
                        4/23/2019
                    ",5.51,"
                        4/5/2019
                    ","95,972",188.0192,110.22,29.60,Finance,9218180830,,31.99,179.95,176.29,"90,944",ERIE,179.96,174.93
,,,1.73,0,"
                        N/A
                    ",1.43,"
                        N/A
                    ","6,143,399",26.38,14.55,12.36,Technology,9253457067,25,15.71,22.62,22.46,"7,112,267",ON,22.75,22.37
.20,,,0.98,0.35,"
                        3/15/2019
                    ",1.24,"
                        2/28/2019
                    ","1,213,708",59.18,34.88,44.84,Capital Goods,9445457124,54,44.45,56.5,55.12,"948,079",CGNX,56.13,54.81
,,,0.09,0,"
                        N/A
                    ",1.52,"
                        N/A
                    ","2,486,038",39.51,22.74,12.83,Consumer Services,9627855252,37,20.14,30.78,30.61,"2,236,079",LKQ,30.66,30.23
,,,0.71,0,"
                        N/A
                    ",8.10,"
                        N/A
                    ","624,590",199.71,148.905,18.91,Technology,9733518279,179,20.22,163.4,163.75,"450,197",FFIV,163.97,162.50
2.16,,,0.21,11.95,"
                        5/9/2019
                    ",0.60,"
                        4/29/2019
                    ","4,463,147",19.72,16.96,7.90,Consumer Services,9745281302,18,30.28,18.08,18.17,"2,707,152",AGNC,18.185,18.09
,,,1.4,0,"
                        N/A
                    ",-2.17,"
                        N/A
                    ","2,890,084",43.50,18.50,,Technology,9869834542,34.5,,21.25,23.16,"7,393,577",DBX,23.345,21.06
,,,1.7,0,"
                        N/A
                    ",7.38,"
                        N/A
                    ","448,033",261.77,104.64,30.31,Technology,9376226757,167.5,23.92,175.48,176.55,"491,939",IPGP,182.17,174
.47,,,0.63,0.48,"
                        1/18/2019
                    ",2.43,"
                        12/24/2018
                    ","126,529",117.79,73.16,32.44,Basic Industries,3134095220,100.5,39.96,97.975,97.11,"62,780",BCPC,98.31,96.70
2.04,,,0.64,0.77,"
                        2/27/2019
                    ",4.57,"
                        2/12/2019
                    ","256,702",264.91,172.09,51.55,Finance,9874230279,234,57.36,263.92,262.13,"339,372",MKTX,264.39,261.50
.48,,,0.54,2.51,"
                        3/6/2019
                    ",1.73,"
                        2/12/2019
                    ","810,292",24.56,15.35,10.80,Finance,3134382308,24,10.74,19.12,18.58,"774,214",HOMB,19.25,18.375
1.28,,,0.13,0.90,"
                        2/12/2019
                    ",-0.43,"
                        1/28/2019
                    ","428,772",144.86,93.98,52.63,Consumer Non-Durables,3135141071,110,,141.58,141.5,"235,808",SAFM,142.70,140.72
3.28,,,0.76,2.76,"
                        3/15/2019
                    ",5.89,"
                        3/8/2019
                    ","40,126",155.2379,115.14,,Finance,3146071272,,19.87,118.8,117.01,"29,324",ANAT,118.86,117.01
,,,0.04,0,"
                        N/A
                    ",2.17,"
                        N/A
                    ","259,076",115.54,67.72,23.97,Health Care,3147212396,120,46.18,100.67,100.21,"275,760",LHCG,101.44,99.38
,,,0.8,0,"
                        N/A
                    ",-1.28,"
                        N/A
                    ","3,654,615",20.61,14.20,,Technology,3165341455,20,,15.41,15.58,"2,409,479",FEYE,15.60,15.26
,,,0.87,0,"
                        N/A
                    ",6.01,"
                        N/A
                    ","778,873",103.05,47.86,10.00,Finance,3149659021,68,10.42,62.63,62.65,"842,695",TCBI,63.15,62.09
.40,,,0.74,1.44,"
                        3/29/2019
                    ",1.78,"
                        3/13/2019
                    ","532,213",36.99,18.78,23.17,Consumer Services,3204854286,32,15.44,27.8,27.48,"215,502",RRR,27.79,27.36
,,,0.86,0,"
                        N/A
                    ",0.77,"
                        N/A
                    ","373,174",66.34,44.05,28.69,Health Care,3161305239,71.5,74.78,57.66,57.58,"350,990",MMSI,58.39,57.11
,,,0.03,0,"
                        N/A
                    ",0.43,"
                        N/A
                    ","448,215",69.61,36.28,59.41,Technology,3313979075,70,159.95,67.13,68.78,"183,143",ALRM,68.84,66.56
1.20,,,0.6,1.83,"
                        4/1/2019
                    ",3.93,"
                        3/8/2019
                    ","239,348",82.14,57,14.31,Finance,3210952168,68.5,16.66,65.68,65.46,"319,875",UMBF,66.64,64.76
,,,1.46,0,"
                        N/A
                    ",1.37,"
                        N/A
                    ","419,963",98.298,65.935,64.95,Technology,3229635498,90,60.39,81.19,82.73,"130,727",QLYS,82.92,81
,,,0.86,0,"
                        N/A
                    ",4.08,"
                        N/A
                    ","122,674",169.84,111.61,27.74,Capital Goods,3231517383,145,31.92,130.92,130.22,"66,138",ROLL,130.63,129.51
,,,1.28,0,"
                        N/A
                    ",-6.03,"
                        N/A
                    ","436,062",99.8242,41.63,,Health Care,3322499762,94,,55.97,56.62,"282,419",AGIO,56.925,55.085
,,,0.94,0,"
                        N/A
                    ",7.53,"
                        N/A
                    ","669,777",69.02,51.04,7.10,Consumer Services,3294737823,65,7.78,60.49,58.61,"360,463",AMCX,60.33,58.19
.44,,,0.71,1.47,"
                        3/29/2019
                    ",2.01,"
                        3/15/2019
                    ","412,998",30.41,22.24,13.82,Consumer Durables,3311783584,30,14.92,30.0,29.99,"402,469",SLGN,30.17,29.86
.44,,,0.86,4.29,"
                        4/1/2019
                    ",0.75,"
                        3/14/2019
                    ","2,049,780",13.37,8.42,10.69,Finance,3346397127,11,13.44,10.26,10.08,"934,934",VLY,10.29,10.05
,,,2.14,0,"
                        N/A
                    ",-3.91,"
                        N/A
                    ","682,966",90.98,37.44,,Health Care,3351592695,77.5,,64.43,65.36,"576,945",RARE,66.06,63.35
1.80,,,0.64,9.40,"
                        2/28/2019
                    ",1.51,"
                        2/14/2019
                    ","1,961,473",23.83,15.70,9.87,Consumer Services,3357823427,19,12.47,19.14,18.83,"1,150,263",SBRA,19.19,18.55
.16,,,0.76,1.04,"
                        3/21/2019
                    ",-1.48,"
                        3/6/2019
                    ","3,461,405",23.99,9.49,,Energy,3365377449,18,,15.38,16.16,"5,760,321",PTEN,16.27,15.51
.44,,,0.55,3.60,"
                        2/25/2019
                    ",0.71,"
                        2/8/2019
                    ","2,236,837",13.95,9.935,15.10,Finance,3377018894,13.75,16.94,12.23,12.03,"1,448,800",ISBC,12.245,12.015
.88,,,0,4.88,"
                        3/28/2019
                    ",0.59,"
                        3/13/2019
                    ","1,833,481",22.58,14.77,16.38,Consumer Services,3401305999,22,30.63,18.02,18.07,"3,129,487",STAY,18.76,17.90
,,,1.42,0,"
                        N/A
                    ",3.18,"
                        N/A
                    ","2,789,450",139.909,84.41,28.81,Technology,10401845341,130,28.91,90.74,91.92,"1,562,703",TTWO,91.99,89.89
,,,1.05,0,"
                        N/A
                    ",2.07,"
                        N/A
                    ","684,357",365.86,219.97,137.67,Technology,10481069759,331.5,159.83,330.41,330.84,"446,497",ULTI,330.85,330.30
,,,0.93,0,"
                        N/A
                    ",-1.45,"
                        N/A
                    ","1,459,679",156.16,72.035,248.46,Health Care,10495106050,162,,114.29,116.61,"721,870",DXCM,116.86,113.195
,,,0.79,0,"
                        N/A
                    ",0.71,"
                        N/A
                    ","298,884",67.8541,30.11,45.44,Capital Goods,3410063067,64,99.11,67.25,70.37,"834,297",MRCY,71.0141,68.005
.61,,,0.74,1.59,"
                        3/22/2019
                    ",0.97,"
                        2/28/2019
                    ","421,209",40.015,30.99,45.88,Technology,10189525730,45,39.11,38.08,37.94,"313,739",OTEX,38.27,37.85
,,,1.31,0,"
                        N/A
                    ",1.11,"
                        N/A
                    ","982,060",44.55,29.75,22.36,Capital Goods,10230017611,42.5,36.52,41.14,40.54,"705,561",TRMB,41.14,40.42
1.04,,,1.16,1.07,"
                        5/17/2019
                    ",4.46,"
                        5/2/2019
                    ","1,067,693",131.74,88.38,16.97,Transportation,10723819273,113.5,22.11,97.21,98.62,"1,507,674",JBHT,99.06,96.49
2.34,,,0.64,3.53,"
                        3/7/2019
                    ",1.46,"
                        2/22/2019
                    ","753,183",69.01,55.38,17.15,Consumer Services,10828314588,71,44.27,66.38,64.64,"918,379",REG,66.34,64.02
,,,0.97,0,"
                        N/A
                    ",-1.17,"
                        N/A
                    ","2,093,700",97.24,40.24,,Technology,10718639836,86.5,,91.94,95.51,"1,725,991",OKTA,95.58,91.04
1.42,,,-0.25,3.09,"
                        5/15/2019
                    ",2.18,"
                        4/29/2019
                    ","1,473,401",47.91,38.22,20.53,Public Utilities,10905899149,48,21.07,45.98,45.94,"1,113,025",LNT,46.11,45.715
.35,,,0.78,0.70,"
                        4/12/2019
                    ",-4.49,"
                        3/28/2019
                    ","1,801,326",51.50,33.93,21.53,Health Care,11031122831,53,,49.73,49.3,"1,189,711",XRAY,50.20,49.10
,,,0.91,0,"
                        N/A
                    ",-1.43,"
                        N/A
                    ","901,987",84.37,47.75,,Health Care,11067242834,80,,69.18,68.76,"849,889",SGEN,69.48,67.97
2.72,,,0.3,2.84,"
                        5/15/2019
                    ",1.71,"
                        4/30/2019
                    ","1,226,516",109.60,76.84,20.55,Consumer Non-Durables,11101565801,103,51.53,88.78,88.11,"966,323",HAS,89.30,87.92
1.60,,,0.83,1.12,"
                        3/18/2019
                    ",3.99,"
                        2/28/2019
                    ","459,762",163.6804,116.79,40.20,Technology,11152020290,146,36.22,143.5,144.5,"213,017",JKHY,144.62,142.40
.80,,,0.69,2.65,"
                        4/1/2019
                    ",3.73,"
                        3/14/2019
                    ","4,718,933",34.44,23.31,7.19,Consumer Services,11697103472,36.5,7.78,30.18,29.02,"5,191,023",VIAB,30.20,28.86
,,,1.75,0,"
                        N/A
                    ",4.81,"
                        N/A
                    ","568,363",459.75,244.08,71.66,Health Care,11764239360,415,54.25,256.56,260.93,"764,925",ABMD,263.785,254.50
,,,1.26,0,"
                        N/A
                    ",0.50,"
                        N/A
                    ","999,516",107.44,76.67,91.21,Technology,11801085586,105,198.96,97.6,99.48,"1,190,232",PTC,99.74,97.19
1.24,,,1.03,1.20,"
                        3/12/2019
                    ",4.32,"
                        2/22/2019
                    ","1,303,294",106.08,59.48,21.89,Consumer Services,12308431862,105,23.53,103.09,101.63,"915,788",TSCO,103.20,101.28
1,,,1.36,0.60,"
                        2/25/2019
                    ",4.51,"
                        2/14/2019
                    ","401,396",172.80,69.4452,41.94,Technology,12004269479,97,37.74,167.75,170.22,"261,362",UBNT,170.56,166.75
,,,1.19,0,"
                        N/A
                    ",7.75,"
                        N/A
                    ","458,572",235.975,130.79,19.84,Technology,12435496083,225,29.74,232.68,230.51,"351,013",ZBRA,232.91,229.70
,,,1.25,0,"
                        N/A
                    ",-1.51,"
                        N/A
                    ","1,654,841",48.82,35.10,18.01,Health Care,12526534981,48,,43.4,43,"2,039,183",HOLX,43.70,42.61
,,,1.2,0,"
                        N/A
                    ",1.77,"
                        N/A
                    ","1,241,921",83.08,57.18,24.07,Miscellaneous,12566609297,80,43.33,75.34,76.69,"820,598",AKAM,76.77,75.52
,,,1.16,0,"
                        N/A
                    ",18.11,"
                        N/A
                    ","445,359",333.74,177.70,12.02,Finance,12775129915,285,13.4,243.14,242.67,"303,981",SIVB,244.23,240.97
,,,0,0,"
                        N/A
                    ",2.01,"
                        N/A
                    ",104,49.94,35.4601,,Consumer Services,12869612421,,19.8,39.788,39.788,0,LSXMB,,
2,,,1.18,2.22,"
                        3/29/2019
                    ",4.73,"
                        2/28/2019
                    ","968,291",101.20,78.83,17.96,Transportation,12384253810,97,19.06,89.99,90.16,"641,526",CHRW,90.23,89.29
.56,,,1.26,1.10,"
                        5/20/2019
                    ",4.10,"
                        5/10/2019
                    ","2,486,251",66.46,40.41,11.95,Finance,12332667520,59,12.3,51.14,50.41,"2,030,508",ETFC,51.36,50.34
.68,,,1.13,0.44,"
                        3/20/2019
                    ",7.39,"
                        3/5/2019
                    ","506,754",170.22,115,19.55,Transportation,12645270945,155,21.09,155.23,155.87,"373,458",ODFL,156.49,153.79
,,,0.59,0,"
                        N/A
                    ",2.01,"
                        N/A
                    ","771,855",48.56,34.839,18.75,Consumer Services,13096677564,54,20.14,39.93,40.49,"630,309",LSXMK,40.55,39.82
,,,0.56,0,"
                        N/A
                    ",2.01,"
                        N/A
                    ","602,151",48.57,34.92,16.51,Consumer Services,13129023026,60,20.19,39.95,40.59,"627,162",LSXMA,40.64,39.87
8,,,0.77,10.75,"
                        4/17/2019
                    ",11.18,"
                        3/8/2019
                    ",,81.88,50.33,,Capital Goods,14247821995,,6.66,74.4,74.45,"60,169",IEP,74.86,73.5201
,,,0.79,0,"
                        N/A
                    ",0.83,"
                        N/A
                    ","2,038,597",31.55,19.245,7.60,Consumer Services,14251763598,27.5,32.72,28.03,27.16,"1,602,969",DISCK,28,26.965
1.40,,,0.85,1.40,"
                        3/22/2019
                    ",3.95,"
                        3/7/2019
                    ","2,300,148",116.815,93.9052,21.86,Technology,13152824425,112,25.28,100.11,99.85,"1,298,934",CTXS,100.17,99.32
